Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Pastato energijos suvartojimo klasė:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Unikalus daikto numeris(RC numeris):
"Panevėžys, Žemaičiai, Daumėnų g., mūrinis namas",320 000 €,,"226,71 m²","15,11 a",4,2,2013,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Pagiegalos k., Eglių g., rąstinis sodo namas",17 000 €,2,"43,53 m²",6 a,,1,1999,Rąstinis,Sodo namas,Kietu kuru,Šulinys,Įrengtas,Greta miškoElektra,GaražasRūsys,Su baldaisŠaldytuvas,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Raguvos mstl., Liepų g., rąstinis namas",24 000 €,13,"90,47 m²","67,04 a",3,1,1970,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,ElektraAsfaltuotas privažiavimas,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Nevėžio g., mūrinis kita",85 000 €,16A,240 m²,"4,31 a",,2,1995,Mūrinis,"Kita (nukeliamas, projektas, kt.)",Dujinis,,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Girios g., rąstinis sodo namas",13 000 €,4,"31,92 m²",6 a,2,1,1987,Rąstinis,Sodo namas,Kietu kuru,Vietinis vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Stetiškiai, Šėtos g., mūrinis namas",149 000 €,2,"124,2 m²","7,41 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasElektra,GaražasRūbinė,Plastikiniai vamzdžiaiRekuperacinė sistema,Šarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,,
"Panevėžio r. sav., Ėriškių k., Lakūnų g., Namas (gyvenamasis)",875 000 €,,900 m²,211 a,12,2,2009,Kita,Namas (gyvenamasis),Geoterminis,Artezinis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetasSu pakrante,GaražasPirtisRūbinėŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,1,
"Panevėžio r. sav., Linonių k., karkasinis sodo namas",8 200 €,,20 m²,6 a,,1,1980,Karkasinis,Sodo namas,"Elektra, kita",Vietinis vandentiekis,Įrengtas,Greta miško,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Ūtos k., Geležės g., mūrinis namas",52 000 €,,"148,52 m²","12,13 a",5,1,2022,Mūrinis,Namas (gyvenamasis),Kita,Vietinis vandentiekis,Nebaigtas statyti,Asfaltuotas privažiavimasElektra,Ūkiniai pastataiTerasa,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,700,
"Panevėžio r. sav., Molainių k., Pievų g., mūrinis namas",280 000 €,5,"160,44 m²","10,3 a",4,1,2021,Mūrinis,Namas (gyvenamasis),Kita,Artezinis,Įrengtas,Elektra,RūbinėTerasa,Su baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėRekuperacinė sistema,SignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,100,
"Panevėžys, Centras, Sodų g., rąstinė namo dalis",66 500 €,,"75,67 m²","6,65 a",3,1,"1905 statyba, 1965 renovacija",Rąstinis,Namo dalis,Kietu kuru,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektra,RūsysŪkiniai pastatai,ŽidinysPlastikiniai vamzdžiai,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Velžio k., Žalioji g., mūrinis namas",185 000 €,28,"223,19 m²","16,45 a",5,2,2008,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžio r. sav., Naujikų k., Vapsvų 2-oji g., mūrinis namas",149 000 €,,"183,44 m²","5,63 a",4,2,2005,Mūrinis,Namas (gyvenamasis),"Elektra, kietu kuru, kita","Šulinys, vietinis vandentiekis",Įrengtas,Asfaltuotas privažiavimasElektra,GaražasRūsysTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysRekuperacinė sistema,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,,
"Panevėžio r. sav., Ėriškių k., Lakūnų g., Namas (gyvenamasis)",1 750 000 €,,933 m²,6348 a,15,2,2009,Kita,Namas (gyvenamasis),Aeroterminis,Artezinis,Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektraInternetasSu pakrante,GaražasPirtisŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,1,
"Panevėžys, Vaivados, Vilktupio g., mūrinis namas",210 000 €,,"372,79 m²","12,76 a",7,2,2001,Mūrinis,Namas (gyvenamasis),"Centrinis, elektra, dujinis, kietu kuru, kita","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėRūsysŪkiniai pastataiTerasa,ŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Vyčių k., Danutės g., mūrinis namas",259 000 €,1,258 m²,"11,15 a",5,2,2022,Mūrinis,Namas (gyvenamasis),"Aeroterminis, dujinis",Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasRūbinėTerasa,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A+,,,
"Panevėžys, Centras, Šiaulių g., mūrinis namas",326 000 €,,"124,08 m²","3,13 a",3,2,2007,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasPirtisRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Upė,100,
"Panevėžio r. sav., Smilgių mstl., Šeduvos g., rąstinis namas",50 000 €,8,129 m²,18 a,,1,1940,Rąstinis,Namas (gyvenamasis),Kietu kuru,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Palangos g., mūrinio namo dalis",59 000 €,,60 m²,3 a,3,1,1980,Mūrinis,Namo dalis,"Centrinis, dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,Viryklė,Aptverta teritorijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Staniūnų k., Riešutų g., mūrinis namas",259 000 €,7,"431,67 m²","7,5 a",6,2,2009,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,BaseinasGaražasRūsysTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Ramygalos m., S. Nėries g., mūrinis namas",36 500 €,6,73 m²,"7,33 a",,1,1973,Mūrinis,Namas (gyvenamasis),Centrinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Žemaičiai, Aukštaičių g., mūrinio namo dalis",28 000 €,68,41 m²,"1,2 a",,1,1975,Mūrinis,Namo dalis,Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Gitėnų k., Gitėnų g., rąstinė sodyba",65 000 €,16,"85,8 m²",604 a,2,1,1953,Rąstinis,Sodyba,Kietu kuru,Šulinys,Įrengtas,Kraštinis sklypasGreta miškoElektra,GaražasPirtisRūsysŪkiniai pastatai,Su baldaisViryklėŽidinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,100,
"Panevėžio r. sav., Kutiškių k., rąstinė namo dalis",540 €,10,"35,59 m²","0,1 a",3,1,1930,Rąstinis,Namo dalis,Kietu kuru,,Kita,Varžytynės/aukcionas,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,6693-0012-7010
"Panevėžys, Vaivados, Samanynės g., mūrinis namas",300 000 €,,540 m²,13 a,9,2,1993,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Piniavos k., Pilies g., mūrinis namas",160 000 €,,"358,42 m²",15 a,7,2,1984,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, S. Daukanto g., rąstinė namo dalis",165 000 €,,"124,55 m²","6,29 a",5,2,"1948 statyba, 1985 renovacija",Rąstinis,Namo dalis,"Centrinis, dujinis, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisRūbinėRūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Paliūniškio k., Likpetrių g., mūrinis namas",25 000 €,,"99,6 m²",15 a,,1,2023,Mūrinis,Namas (gyvenamasis),Kita,,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Dembavos k., Jaunimo g., mūrinis namas",250 000 €,10,"253,79 m²","16,96 a",5,2,1997,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujos,BaseinasGaražasPirtisRūbinėŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Mitkų k., Poilsio g., mūrinis namas",27 500 €,,55 m²,12 a,,2,1960,Mūrinis,Namas (gyvenamasis),Kietu kuru,"Artezinis, šulinys",Įrengtas,Kraštinis sklypasGreta miškoElektra,RūsysŪkiniai pastatai,Su baldaisŠaldytuvasVirtuvės komplektasViryklė,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,C,,,
"Panevėžio r. sav., Tautvilų k., medinis namas",32 000 €,,"101,24 m²",100 a,4,1,1924,Medinis,Namas (gyvenamasis),Kita,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Šeškų k., Panevėžio aplinkl., rąstinis namas",720 000 €,200,"80,08 m²",1325 a,4,1,1992,Rąstinis,Namas (gyvenamasis),Dujinis,Vietinis vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraDujosSu pakrante,PirtisŪkiniai pastataiTerasa,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,20,
"Panevėžio r. sav., Ramygalos m., Dariaus ir Girėno g., rąstinė namo dalis",998 €,44,"26,06 m²",0 a,,1,1950,Rąstinis,Namo dalis,Kietu kuru,,Kita,Varžytynės/aukcionas,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,6695-0000-3019
"Panevėžys, Tulpės, Marijonų g., mūrinis namas",280 000 €,9,630 m²,11 a,,2,1994,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Rožės, Pelkių g., mūrinis namas",115 000 €,,"177,09 m²","8,69 a",5,2,1977,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Stoties g., mūrinis namas",95 000 €,43A,"395,87 m²","6,13 a",7,2,"1932 statyba, 1997 renovacija",Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Miesto vandentiekis,Kita,Kraštinis sklypasAsfaltuotas privažiavimasElektra,RūsysŪkiniai pastatai,,Aptverta teritorija,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Spirakių k., Tartališkio g., rąstinė sodyba",15 000 €,,60 m²,120 a,,1,1940,Rąstinis,Sodyba,Kietu kuru,Šulinys,Dalinė apdaila,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,Ūkiniai pastatai,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, K. Būgos g., rąstinė namo dalis",36 000 €,,"57,12 m²","2,34 a",4,2,1965,Rąstinis,Namo dalis,Dujinis,"Miesto vandentiekis, šulinys",Kita,Asfaltuotas privažiavimasDujos,RūsysŪkiniai pastatai,,Aptverta teritorija,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Tulpės, Taikos al., rąstinis namas",88 000 €,,85 m²,"10,84 a",,2,1956,Rąstinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Darbininkų g., karkasinė namo dalis",25 000 €,11,"77,34 m²","3,47 a",,2,1953,Karkasinis,Namo dalis,Kietu kuru,,Kita,,,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Molainiai, Armuliškio g., mūrinis namas",160 000 €,,407 m²,"12,16 a",8,2,1997,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Kaubariškio k., Tiesioji al., mūrinis sodo namas",33 000 €,34,"85,51 m²",6 a,,2,1982,Mūrinis,Sodo namas,Kietu kuru,Šulinys,Įrengtas,Kraštinis sklypasGreta miškoAsfaltuotas privažiavimasElektra,GaražasRūsys,Židinys,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Tvenkinys,,4400-2832-9684
"Panevėžys, Žemaičiai, Beržų g., rąstinis namas",44 000 €,45A,46 m²,"5,81 a",,1,1976,Rąstinis,Namas (gyvenamasis),"Kietu kuru, kita",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Ragainės k., Naujamiesčio g., mūrinis namas",39 000 €,,"45,4 m²",38 a,3,1,1953,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Janališkių k., Šermukšnių g., medinis sodo namas",7 900 €,,35 m²,6 a,2,1,1995,Medinis,Sodo namas,Elektra,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, Ukmergės g., mūrinis sublokuotas namas",190 000 €,,"348,57 m²","5,33 a",6,3,1993,Mūrinis,Sublokuotas namas,Centrinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Molainių k., Krantinės g., mūrinis namas",164 983 €,,148 m²,9 a,4,1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, geoterminis, aeroterminis, kita",Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,Garažas,Šildomos grindysPlastikiniai vamzdžiaiRekuperacinė sistema,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,A++,Tvenkinys,30,
"Panevėžio r. sav., Debikonių k., rąstinė sodyba",30 000 €,5,75 m²,17 a,,1,1960,Rąstinis,Sodyba,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžio r. sav., Juodlieknio k., Metalistų g., mūrinis sodo namas",27 000 €,13,"32,61 m²",12 a,,1,2010,Mūrinis,Sodo namas,Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, Centras, V. Svirskio g., mūrinis namas",99 000 €,3,230 m²,"10,61 a",,2,1990,Mūrinis,Namas (gyvenamasis),Kita,Miesto vandentiekis,Nebaigtas statyti,Asfaltuotas privažiavimasElektraDujos,GaražasRūsys,,Aptverta teritorija,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Panevėžys, karkasinis kita",27 000 €,,64 m²,1 a,,2,2022,Karkasinis,"Kita (nukeliamas, projektas, kt.)",Saulės energija,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
